datetime,dataset,target_column,target_value,risk_score,risk_level,pressure_score,change_score,seasonal_deviation_score,outlier_score,weather_score,weather_available,heavy_rain_flag,strong_wind_flag,missing_target,lag_1_value,lag_24_value,lag_168_value,rollmean_24_value,rollmean_168_value,iqr_outlier,zscore_outlier,isolation_forest_outlier,any_outlier
2024-01-01 00:00:00+00:00,consumption,total,1298050.32934525,7.134,low,0.2378,0.0,0.0,0.0,0.0,True,False,False,False,,,,,,False,False,False,False
2024-01-01 01:00:00+00:00,consumption,total,1256571.01375425,7.376,low,0.2008,0.0676,0.0,0.0,0.0,True,False,False,False,1298050.32934525,,,1298050.32934525,1298050.32934525,False,False,False,False
2024-01-01 02:00:00+00:00,consumption,total,1191063.06031525,8.45,low,0.1424,0.1215,0.0699,0.0,0.0,True,False,False,False,1256571.01375425,,,1277310.67154975,1277310.67154975,False,False,False,False
2024-01-01 03:00:00+00:00,consumption,total,1122163.9360857499,9.196,low,0.081,0.1367,0.1613,0.0,0.0,True,False,False,False,1191063.06031525,,,1248561.4678049167,1248561.4678049167,False,False,False,False
2024-01-01 04:00:00+00:00,consumption,total,1073408.1836975,23.256,low,0.0375,0.0983,0.2066,1.0,0.0,True,False,False,False,1122163.9360857499,,,1216962.084875125,1216962.084875125,False,False,True,True
2024-01-01 05:00:00+00:00,consumption,total,1049548.42942125,21.4,low,0.0162,0.0416,0.2033,1.0,0.0,True,False,False,False,1073408.1836975,,,1188251.3046396,1188251.3046396,False,False,True,True
2024-01-01 06:00:00+00:00,consumption,total,1041289.4460142499,19.705,low,0.0089,0.0032,0.175,1.0,0.0,True,False,False,False,1049548.42942125,,,1165134.158769875,1165134.158769875,False,False,True,True
2024-01-01 07:00:00+00:00,consumption,total,1040144.7523675,18.744,low,0.0079,0.0,0.1403,1.0,0.0,True,False,False,False,1041289.4460142499,,,1147442.0569476427,1147442.0569476427,False,False,True,True
2024-01-01 08:00:00+00:00,consumption,total,1030954.75370125,18.447,low,0.0,0.0058,0.1332,1.0,0.0,True,False,False,False,1040144.7523675,,,1134029.8938751249,1134029.8938751249,False,False,True,True
2024-01-01 09:00:00+00:00,consumption,total,1084596.3159245,18.849,low,0.0475,0.1212,0.0,1.0,0.0,True,False,False,False,1030954.75370125,,,1122577.1005224723,1122577.1005224723,False,False,True,True
2024-01-01 10:00:00+00:00,consumption,total,1158732.3525315,21.704,low,0.1136,0.1648,0.0,1.0,0.0,True,False,False,False,1084596.3159245,,,1118779.0220626749,1118779.0220626749,False,False,True,True
2024-01-01 11:00:00+00:00,consumption,total,1255648.4432465,15.329,low,0.2,0.2057,0.2086,0.0,0.0,True,False,False,False,1158732.3525315,,,1122411.1430143863,1122411.1430143863,False,False,False,False
2024-01-01 12:00:00+00:00,consumption,total,1328523.6889375001,19.523,low,0.265,0.1373,0.3532,0.0,0.0,True,False,False,False,1255648.4432465,,,1133514.2513670626,1133514.2513670626,False,False,False,False
2024-01-01 13:00:00+00:00,consumption,total,1314362.54060775,14.741,low,0.2524,0.0107,0.2783,0.0,0.0,True,False,False,False,1328523.6889375001,,,1148514.9773340193,1148514.9773340193,False,False,False,False
2024-01-01 14:00:00+00:00,consumption,total,1255154.98908675,10.746,low,0.1996,0.1026,0.1083,0.0,0.0,True,False,False,False,1314362.54060775,,,1160361.2318535715,1160361.2318535715,False,False,False,False
2024-01-01 15:00:00+00:00,consumption,total,1266410.8194785002,9.376,low,0.2096,0.0062,0.1186,0.0,0.0,True,False,False,False,1255154.98908675,,,1166680.8156691166,1166680.8156691166,False,False,False,False
2024-01-01 16:00:00+00:00,consumption,total,1312121.1620525,14.297,low,0.2504,0.0786,0.2086,0.0,0.0,True,False,False,False,1266410.8194785002,,,1172913.9409072031,1172913.9409072031,False,False,False,False
2024-01-01 17:00:00+00:00,consumption,total,1428298.521224,26.346,low,0.3539,0.2187,0.4541,0.0,0.0,True,False,False,False,1312121.1620525,,,1181102.6009745735,1181102.6009745735,False,False,False,False
2024-01-01 18:00:00+00:00,consumption,total,1595722.3853499999,40.908,medium,0.5032,0.2954,0.7962,0.0,0.0,True,False,False,False,1428298.521224,,,1194835.7076550974,1194835.7076550974,False,False,False,False
2024-01-01 19:00:00+00:00,consumption,total,1656238.721894,40.092,medium,0.5572,0.0835,0.8683,0.0,0.0,True,False,False,False,1595722.3853499999,,,1215935.0064811448,1215935.0064811448,False,False,False,False
2024-01-01 20:00:00+00:00,consumption,total,1676522.029356,38.732,medium,0.5753,0.0149,0.847,0.0,0.0,True,False,False,False,1656238.721894,,,1237950.1922517875,1237950.1922517875,False,False,False,False
2024-01-01 21:00:00+00:00,consumption,total,1620936.4021835001,33.848,low,0.5257,0.0708,0.6665,0.0,0.0,True,False,False,False,1676522.029356,,,1258834.5654472262,1258834.5654472262,False,False,False,False
2024-01-01 22:00:00+00:00,consumption,total,1525966.734707,26.496,low,0.441,0.1387,0.4196,0.0,0.0,True,False,False,False,1620936.4021835001,,,1275293.7398443294,1275293.7398443294,False,False,False,False
2024-01-01 23:00:00+00:00,consumption,total,1391351.050634,16.7,low,0.321,0.2179,0.1085,0.0,0.0,True,False,False,False,1525966.734707,,,1286192.5657079238,1286192.5657079238,False,False,False,False
2024-01-02 00:00:00+00:00,consumption,total,1269878.428552,10.69,low,0.2127,0.2154,0.0,0.0,0.0,True,False,False,False,1391351.050634,1298050.32934525,,1290574.1692465104,1290574.1692465104,False,False,False,False
2024-01-02 01:00:00+00:00,consumption,total,1169526.4425305,11.051,low,0.1232,0.1933,0.1395,0.0,0.0,True,False,False,False,1269878.428552,1256571.01375425,,1289400.3400467916,1289746.33961873,False,False,False,False
2024-01-02 02:00:00+00:00,consumption,total,1103415.6174185001,12.286,low,0.0643,0.1788,0.2713,0.0,0.0,True,False,False,False,1169526.4425305,1191063.06031525,,1285773.4829124687,1285122.4974230288,False,False,False,False
2024-01-02 03:00:00+00:00,consumption,total,1066308.54554325,11.816,low,0.0312,0.1152,0.3431,0.0,0.0,True,False,False,False,1103415.6174185001,1122163.9360857499,,1282121.5061251044,1278392.6129784167,False,False,False,False
2024-01-02 04:00:00+00:00,consumption,total,1057579.253734,25.071,low,0.0234,0.0216,0.3575,1.0,0.0,True,False,False,False,1066308.54554325,1073408.1836975,,1279794.1981858334,1270818.1819985893,False,False,True,True
2024-01-02 05:00:00+00:00,consumption,total,1071878.2491637499,25.016,low,0.0361,0.039,0.326,1.0,0.0,True,False,False,False,1057579.253734,1049548.42942125,,1279134.6594373542,1263465.1155067068,False,False,True,True
2024-01-02 06:00:00+00:00,consumption,total,1150562.2526267502,12.723,low,0.1063,0.2626,0.1713,0.0,0.0,True,False,False,False,1071878.2491637499,1041289.4460142499,,1280065.0685932916,1257078.8866286085,False,False,False,False
2024-01-02 07:00:00+00:00,consumption,total,1272990.1397365,30.408,low,0.2155,0.5802,0.4936,0.0,0.0,True,False,False,False,1150562.2526267502,1040144.7523675,,1284618.1022021458,1253642.8661769354,False,False,False,False
2024-01-02 08:00:00+00:00,consumption,total,1421594.7499615,53.173,medium,0.348,0.9945,0.9138,0.0,0.0,True,False,False,False,1272990.1397365,1030954.75370125,,1294319.993342521,1254247.468475672,False,False,False,False
2024-01-02 09:00:00+00:00,consumption,total,1599757.7547984999,60.205,high,0.5068,1.0,1.0,0.0,0.0,True,False,False,False,1421594.7499615,1084596.3159245,,1310596.6598533646,1259318.5982176666,False,False,False,False
2024-01-02 10:00:00+00:00,consumption,total,1692501.23542925,62.685,high,0.5895,1.0,1.0,0.0,0.0,True,False,False,False,1599757.7547984999,1158732.3525315,,1332061.7198064479,1269331.514587691,False,False,False,False
2024-01-02 11:00:00+00:00,consumption,total,1773690.3347567501,64.857,high,0.6619,1.0,1.0,0.0,0.0,True,False,False,False,1692501.23542925,1255648.4432465,,1354302.0899271874,1281422.0780403072,False,False,False,False
2024-01-02 12:00:00+00:00,consumption,total,1841879.0637255,66.681,high,0.7227,1.0,1.0,0.0,0.0,True,False,False,False,1773690.3347567501,1328523.6889375001,,1375887.1687401144,1295096.1962824306,False,False,False,False
2024-01-02 13:00:00+00:00,consumption,total,1854747.99877525,67.025,high,0.7342,1.0,1.0,0.0,0.0,True,False,False,False,1841879.0637255,1314362.54060775,,1397276.9760229478,1309874.1116187298,False,False,False,False
2024-01-02 14:00:00+00:00,consumption,total,1891425.5559375,68.006,high,0.7669,1.0,1.0,0.0,0.0,True,False,False,False,1854747.99877525,1255154.98908675,,1419793.036779927,1324212.8981228487,False,False,False,False
2024-01-02 15:00:00+00:00,consumption,total,1887690.4205265,67.907,high,0.7636,1.0,1.0,0.0,0.0,True,False,False,False,1891425.5559375,1266410.8194785002,,1446304.3103987083,1338756.8124257885,False,False,False,False
2024-01-02 16:00:00+00:00,consumption,total,1891833.31240775,68.017,high,0.7672,1.0,1.0,0.0,0.0,True,False,False,False,1887690.4205265,1312121.1620525,,1472190.9604423752,1352480.1526283063,False,False,False,False
2024-01-02 17:00:00+00:00,consumption,total,1942848.8484530002,68.274,high,0.8127,0.9446,1.0,0.0,0.0,True,False,False,False,1891833.31240775,1428298.521224,,1496345.6333738437,1365635.107744878,False,False,False,False
2024-01-02 18:00:00+00:00,consumption,total,2035448.29455975,66.226,high,0.8953,0.7184,1.0,0.0,0.0,True,False,False,False,1942848.8484530002,1595722.3853499999,,1517785.2303417188,1379378.2920474524,False,False,False,False
2024-01-02 19:00:00+00:00,consumption,total,2086194.52260475,66.731,high,0.9405,0.6757,1.0,0.0,0.0,True,False,False,False,2035448.29455975,1656238.721894,,1536107.1432254585,1394635.733966343,False,False,False,False
2024-01-02 20:00:00+00:00,consumption,total,2077547.5056365,65.41,high,0.9328,0.6212,1.0,0.0,0.0,True,False,False,False,2086194.52260475,1676522.029356,,1554021.968255073,1410352.9791626704,False,False,False,False
2024-01-02 21:00:00+00:00,consumption,total,1980636.93404925,60.472,high,0.8464,0.575,0.9431,0.0,0.0,True,False,False,False,2077547.5056365,1620936.4021835001,,1570731.3631000938,1425179.5241954222,False,False,False,False
2024-01-02 22:00:00+00:00,consumption,total,1827435.486309,47.06,medium,0.7098,0.51,0.6226,0.0,0.0,True,False,False,False,1980636.93404925,1525966.734707,,1585718.8852611666,1437254.685279201,False,False,False,False
2024-01-02 23:00:00+00:00,consumption,total,1621451.4966387497,32.643,low,0.5262,0.424,0.3351,0.0,0.0,True,False,False,False,1827435.486309,1391351.050634,,1598280.0832445833,1445556.4044500478,False,False,False,False
2024-01-03 00:00:00+00:00,consumption,total,1437649.6899977499,23.696,low,0.3623,0.3352,0.245,0.0,0.0,True,False,False,False,1621451.4966387497,1269878.428552,,1607867.6018281148,1449220.8855373124,False,False,False,False
2024-01-03 01:00:00+00:00,consumption,total,1322483.86857,23.859,low,0.2596,0.3316,0.3776,0.0,0.0,True,False,False,False,1437649.6899977499,1169526.4425305,,1614858.071055021,1448984.7386895665,False,False,False,False
2024-01-03 02:00:00+00:00,consumption,total,1246130.62924125,25.149,low,0.1915,0.3277,0.5139,0.0,0.0,True,False,False,False,1322483.86857,1103415.6174185001,,1621231.2971399997,1446454.721287175,False,False,False,False
2024-01-03 03:00:00+00:00,consumption,total,1211040.32653675,26.203,low,0.1602,0.3448,0.58,0.0,0.0,True,False,False,False,1246130.62924125,1066308.54554325,,1627177.7559659479,1442526.7979137255,False,False,False,False
2024-01-03 04:00:00+00:00,consumption,total,1188911.31097125,26.098,low,0.1405,0.314,0.6242,0.0,0.0,True,False,False,False,1211040.32653675,1057579.253734,,1633208.2468406772,1438075.1350026296,False,False,False,False
2024-01-03 05:00:00+00:00,consumption,total,1200848.3774532499,25.882,low,0.1511,0.3036,0.611,0.0,0.0,True,False,False,False,1188911.31097125,1071878.2491637499,,1638680.4158922294,1433373.9307756226,False,False,False,False
2024-01-03 06:00:00+00:00,consumption,total,1283451.2963575,24.592,low,0.2248,0.2908,0.4813,0.0,0.0,True,False,False,False,1200848.3774532499,1150562.2526267502,,1644054.171237625,1429067.9020103936,False,False,False,False
2024-01-03 07:00:00+00:00,consumption,total,1474431.93129,27.845,low,0.3951,0.405,0.3158,0.0,0.0,True,False,False,False,1283451.2963575,1272990.1397365,,1649591.2147264061,1426420.3273621593,False,False,False,False
2024-01-03 08:00:00+00:00,consumption,total,1705294.1383137498,39.028,medium,0.6009,0.5153,0.4277,0.0,0.0,True,False,False,False,1474431.93129,1421594.7499615,,1657984.6227078019,1427277.6774322991,False,False,False,False
2024-01-03 09:00:00+00:00,consumption,total,1871587.63449025,49.16,medium,0.7492,0.4361,0.7184,0.0,0.0,True,False,False,False,1705294.1383137498,1599757.7547984999,,1669805.4305558128,1432155.1592021491,False,False,False,False
2024-01-03 10:00:00+00:00,consumption,total,1940005.403069,52.478,medium,0.8102,0.3729,0.8286,0.0,0.0,True,False,False,False,1871587.63449025,1692501.23542925,,1681131.6755429686,1439731.581189875,False,False,False,False
2024-01-03 11:00:00+00:00,consumption,total,2000033.678624,55.363,medium,0.8637,0.3231,0.9195,0.0,0.0,True,False,False,False,1940005.403069,1773690.3347567501,,1691444.3491946252,1448210.7985098602,False,False,False,False
2024-01-03 12:00:00+00:00,consumption,total,2005108.8166955,53.061,medium,0.8682,0.219,0.9054,0.0,0.0,True,False,False,False,2000033.678624,1841879.0637255,,1700875.3218557602,1457407.8465117626,False,False,False,False
2024-01-03 13:00:00+00:00,consumption,total,1964686.361085,47.973,medium,0.8322,0.1406,0.8078,0.0,0.0,True,False,False,False,2005108.8166955,1854747.99877525,,1707676.5615628439,1466386.5509410042,False,False,False,False
2024-01-03 14:00:00+00:00,consumption,total,1980285.3835415,47.955,medium,0.8461,0.1077,0.8167,0.0,0.0,True,False,False,False,1964686.361085,1891425.5559375,,1712257.3266590834,1474423.6446530041,False,False,False,False
2024-01-03 15:00:00+00:00,consumption,total,1948232.430581,44.344,medium,0.8175,0.0679,0.7384,0.0,0.0,True,False,False,False,1980285.3835415,1887690.4205265,,1715959.819475917,1482453.1960639325,False,False,False,False
2024-01-03 16:00:00+00:00,consumption,total,1949181.8782215,43.883,medium,0.8184,0.0632,0.7227,0.0,0.0,True,False,False,False,1948232.430581,1891833.31240775,,1718482.4032281872,1489730.9966032617,False,False,False,False
2024-01-03 17:00:00+00:00,consumption,total,1982795.3701192501,45.364,medium,0.8483,0.0371,0.7668,0.0,0.0,True,False,False,False,1949181.8782215,1942848.8484530002,,1720871.9268037605,1496799.4717050807,False,False,False,False
2024-01-03 18:00:00+00:00,consumption,total,2069212.0903972501,52.359,medium,0.9254,0.0986,0.905,0.0,0.0,True,False,False,False,1982795.3701192501,2035448.29455975,,1722536.365206521,1504163.0459234773,False,False,False,False
2024-01-03 19:00:00+00:00,consumption,total,2109120.747249,53.396,medium,0.961,0.0337,0.9557,0.0,0.0,True,False,False,False,2069212.0903972501,2086194.52260475,,1723943.190033083,1512596.613751444,False,False,False,False
2024-01-03 20:00:00+00:00,consumption,total,2103199.676268,52.059,medium,0.9557,0.0152,0.9233,0.0,0.0,True,False,False,False,2109120.747249,2077547.5056365,,1724898.4493932603,1521369.0274793492,False,False,False,False
2024-01-03 21:00:00+00:00,consumption,total,2005389.9549595,46.419,medium,0.8685,0.1064,0.7294,0.0,0.0,True,False,False,False,2103199.676268,1980636.93404925,,1725967.2898362398,1529801.355722663,False,False,False,False
2024-01-03 22:00:00+00:00,consumption,total,1857800.25427275,37.019,medium,0.7369,0.1788,0.4534,0.0,0.0,True,False,False,False,2005389.9549595,1827435.486309,,1726998.6657075,1536595.4785689034,False,False,False,False
2024-01-03 23:00:00+00:00,consumption,total,1669973.1991575002,24.967,low,0.5694,0.2523,0.1135,0.0,0.0,True,False,False,False,1857800.25427275,1621451.4966387497,,1728263.8643726564,1541119.48949431,False,False,False,False
2024-01-04 00:00:00+00:00,consumption,total,1490340.0047855,24.238,low,0.4093,0.2696,0.2627,0.0,0.0,True,False,False,False,1669973.1991575002,1437649.6899977499,,1730285.6019776042,1542909.1243507431,False,False,False,False
2024-01-04 01:00:00+00:00,consumption,total,1368344.8141562499,24.445,low,0.3005,0.2009,0.4565,0.0,0.0,True,False,False,False,1490340.0047855,1322483.86857,,1732481.0317604272,1542188.999425192,False,False,False,False
2024-01-04 02:00:00+00:00,consumption,total,1295863.6927490002,23.853,low,0.2359,0.1237,0.5721,0.0,0.0,True,False,False,False,1368344.8141562499,1246130.62924125,,1734391.9044931876,1539839.7536783142,False,False,False,False
2024-01-04 03:00:00+00:00,consumption,total,1243759.24762925,23.871,low,0.1894,0.0896,0.6559,0.0,0.0,True,False,False,False,1295863.6927490002,1211040.32653675,,1736464.1154726772,1536586.73953259,False,False,False,False
2024-01-04 04:00:00+00:00,consumption,total,1234178.3791092501,23.912,low,0.1809,0.0839,0.6723,0.0,0.0,True,False,False,False,1243759.24762925,1188911.31097125,,1737827.4038515312,1532733.7462180723,False,False,False,False
2024-01-04 05:00:00+00:00,consumption,total,1254074.24247325,24.056,low,0.1986,0.1006,0.6434,0.0,0.0,True,False,False,False,1234178.3791092501,1200848.3774532499,,1739713.5316906143,1528856.4037880877,False,False,False,False
2024-01-04 06:00:00+00:00,consumption,total,1341285.0634735,24.406,low,0.2764,0.168,0.5102,0.0,0.0,True,False,False,False,1254074.24247325,1283451.2963575,,1741931.2760664478,1525333.5555661027,False,False,False,False
2024-01-04 07:00:00+00:00,consumption,total,1532647.81865475,26.072,low,0.447,0.3634,0.2158,0.0,0.0,True,False,False,False,1341285.0634735,1474431.93129,,1744341.016362948,1523003.827818095,False,False,False,False
2024-01-04 08:00:00+00:00,consumption,total,1756308.1871857499,34.379,low,0.6464,0.3721,0.3018,0.0,0.0,True,False,False,False,1532647.81865475,1705294.1383137498,,1746766.6783364795,1523124.377703553,False,False,False,False
2024-01-04 09:00:00+00:00,consumption,total,1912744.04996425,42.323,medium,0.7859,0.2202,0.5737,0.0,0.0,True,False,False,False,1756308.1871857499,1871587.63449025,,1748892.2637061458,1526003.1901662962,False,False,False,False
2024-01-04 10:00:00+00:00,consumption,total,1938059.93957925,39.807,medium,0.8085,0.0176,0.6081,0.0,0.0,True,False,False,False,1912744.04996425,1940005.403069,,1750607.114350896,1530719.5421150518,False,False,False,False
2024-01-04 11:00:00+00:00,consumption,total,1945454.1299995,40.808,medium,0.8151,0.0551,0.6102,0.0,0.0,True,False,False,False,1938059.93957925,2000033.678624,,1750526.053372156,1535627.2577471507,False,False,False,False
2024-01-04 12:00:00+00:00,consumption,total,1919012.12547325,39.502,medium,0.7915,0.0969,0.5528,0.0,0.0,True,False,False,False,1945454.1299995,2005108.8166955,,1748251.9055128023,1540506.1490834882,False,False,False,False
2024-01-04 13:00:00+00:00,consumption,total,1854411.306345,35.403,medium,0.7339,0.1322,0.4297,0.0,0.0,True,False,False,False,1919012.12547325,1964686.361085,,1744664.5433785415,1544959.1605704266,False,False,False,False
2024-01-04 14:00:00+00:00,consumption,total,1896096.63628025,37.425,medium,0.771,0.0958,0.4951,0.0,0.0,True,False,False,False,1854411.306345,1980285.3835415,,1740069.7494310418,1548557.4413352471,False,False,False,False
2024-01-04 15:00:00+00:00,consumption,total,1904548.3980995,36.733,medium,0.7786,0.0421,0.5013,0.0,0.0,True,False,False,False,1896096.63628025,1948232.430581,,1736561.884961823,1552552.1447254196,False,False,False,False
2024-01-04 16:00:00+00:00,consumption,total,1906381.3913235,36.624,medium,0.7802,0.0409,0.496,0.0,0.0,True,False,False,False,1904548.3980995,1949181.8782215,,1734741.7169417606,1556552.102150125,False,False,False,False
2024-01-04 17:00:00+00:00,consumption,total,1934711.57161675,38.525,medium,0.8055,0.047,0.5368,0.0,0.0,True,False,False,False,1906381.3913235,1982795.3701192501,,1732958.3633210103,1560482.7683206124,False,False,False,False
2024-01-04 18:00:00+00:00,consumption,total,2029831.6824364997,46.296,medium,0.8903,0.1136,0.6927,0.0,0.0,True,False,False,False,1934711.57161675,2069212.0903972501,,1730954.8717167396,1564640.8661350138,False,False,False,False
2024-01-04 19:00:00+00:00,consumption,total,2111590.7917385,51.251,medium,0.9632,0.0898,0.8224,0.0,0.0,True,False,False,False,2029831.6824364997,2109120.747249,,1729314.0213850418,1569752.853127338,False,False,False,False
2024-01-04 20:00:00+00:00,consumption,total,2120123.57225625,49.783,medium,0.9708,0.0037,0.8234,0.0,0.0,True,False,False,False,2111590.7917385,2103199.676268,,1729416.9399054376,1575642.3959383287,False,False,False,False
2024-01-04 21:00:00+00:00,consumption,total,2020277.53470075,44.584,medium,0.8818,0.108,0.6388,0.0,0.0,True,False,False,False,2120123.57225625,2005389.9549595,,1730122.102238281,1581497.0322428227,False,False,False,False
2024-01-04 22:00:00+00:00,consumption,total,1876078.8065027501,35.61,medium,0.7532,0.1729,0.3822,0.0,0.0,True,False,False,False,2020277.53470075,1857800.25427275,,1730742.4180608334,1586164.9099285454,False,False,False,False
2024-01-04 23:00:00+00:00,consumption,total,1689728.3733432498,24.021,low,0.587,0.2476,0.0583,0.0,0.0,True,False,False,False,1876078.8065027501,1669973.1991575002,,1731504.02440375,1589216.635155642,False,False,False,False
2024-01-05 00:00:00+00:00,consumption,total,1501929.9923029998,24.354,low,0.4196,0.2791,0.2474,0.0,0.0,True,False,False,False,1689728.3733432498,1490340.0047855,,1732327.1566614897,1590263.6324284298,False,False,False,False
2024-01-05 01:00:00+00:00,consumption,total,1380776.875615,24.238,low,0.3116,0.1977,0.4375,0.0,0.0,True,False,False,False,1501929.9923029998,1368344.8141562499,,1732810.0728080522,1589352.9763446623,False,False,False,False
2024-01-05 02:00:00+00:00,consumption,total,1305530.800889,23.785,low,0.2445,0.1278,0.5558,0.0,0.0,True,False,False,False,1380776.875615,1295863.6927490002,,1733328.0753688335,1587224.6487861963,False,False,False,False
2024-01-05 03:00:00+00:00,consumption,total,1266904.4248115001,22.942,low,0.21,0.0613,0.6166,0.0,0.0,True,False,False,False,1305530.800889,1243759.24762925,,1733730.8715413334,1584379.2563831944,False,False,False,False
2024-01-05 04:00:00+00:00,consumption,total,1250620.4415112499,22.301,low,0.1955,0.0178,0.6432,0.0,0.0,True,False,False,False,1266904.4248115001,1234178.3791092501,,1734695.2539239272,1581204.5080674773,False,False,False,False
2024-01-05 05:00:00+00:00,consumption,total,1264879.2552187499,22.042,low,0.2082,0.0127,0.6217,0.0,0.0,True,False,False,False,1250620.4415112499,1254074.24247325,,1735380.3398573438,1577931.3984976138,False,False,False,False
2024-01-05 06:00:00+00:00,consumption,total,1365980.56099425,24.475,low,0.2984,0.1957,0.4643,0.0,0.0,True,False,False,False,1264879.2552187499,1341285.0634735,,1735830.5487217398,1574862.2598380172,False,False,False,False
2024-01-05 07:00:00+00:00,consumption,total,1569625.5567505,25.705,low,0.48,0.3805,0.1479,0.0,0.0,True,False,False,False,1365980.56099425,1532647.81865475,,1736859.527785104,1572834.2821793398,False,False,False,False
2024-01-05 08:00:00+00:00,consumption,total,1781579.81293975,33.094,low,0.6689,0.343,0.2467,0.0,0.0,True,False,False,False,1569625.5567505,1756308.1871857499,,1738400.2668724267,1572803.4290502162,False,False,False,False
2024-01-05 09:00:00+00:00,consumption,total,1909713.61797025,38.565,medium,0.7832,0.1743,0.4633,0.0,0.0,True,False,False,False,1781579.81293975,1912744.04996425,,1739453.2512788437,1574791.77556345,False,False,False,False
2024-01-05 10:00:00+00:00,consumption,total,1897390.8141115,34.82,low,0.7722,0.0383,0.4355,0.0,0.0,True,False,False,False,1909713.61797025,1938059.93957925,,1739326.9832790939,1577951.4155861556,False,False,False,False
2024-01-05 11:00:00+00:00,consumption,total,1910304.4332272501,35.409,medium,0.7837,0.0305,0.4515,0.0,0.0,True,False,False,False,1897390.8141115,1945454.1299995,,1737632.436384604,1580936.8305256448,False,False,False,False
2024-01-05 12:00:00+00:00,consumption,total,1915781.7732635,35.023,medium,0.7886,0.0,0.4546,0.0,0.0,True,False,False,False,1910304.4332272501,1919012.12547325,,1736167.8656857603,1583986.5305506599,False,False,False,False
2024-01-05 13:00:00+00:00,consumption,total,1872157.4403397501,32.697,low,0.7497,0.043,0.3738,0.0,0.0,True,False,False,False,1915781.7732635,1854411.306345,,1736033.267677021,1587030.523603071,False,False,False,False
2024-01-05 14:00:00+00:00,consumption,total,1911435.7919757501,35.196,medium,0.7847,0.0383,0.4356,0.0,0.0,True,False,False,False,1872157.4403397501,1896096.63628025,,1736772.6899268022,1589622.5864824953,False,False,False,False
2024-01-05 15:00:00+00:00,consumption,total,1904551.7451242502,33.805,low,0.7786,0.0,0.4179,0.0,0.0,True,False,False,False,1911435.7919757501,1904548.3980995,,1737411.8214141142,1592521.8045500023,False,False,False,False
2024-01-05 16:00:00+00:00,consumption,total,1908569.1173065002,33.942,low,0.7822,0.0,0.4191,0.0,0.0,True,False,False,False,1904551.7451242502,1906381.3913235,,1737411.960873479,1595307.7861622723,False,False,False,False
2024-01-05 17:00:00+00:00,consumption,total,1967051.512658,39.126,medium,0.8343,0.0641,0.5126,0.0,0.0,True,False,False,False,1908569.1173065002,1934711.57161675,,1737503.1161227708,1598080.0103316903,False,False,False,False
2024-01-05 18:00:00+00:00,consumption,total,2091687.9081930001,49.313,medium,0.9454,0.1515,0.7168,0.0,0.0,True,False,False,False,1967051.512658,2029831.6824364997,,1738850.613666156,1601316.6024573597,False,False,False,False
2024-01-05 19:00:00+00:00,consumption,total,2143219.77213425,50.562,medium,0.9914,0.048,0.7944,0.0,0.0,True,False,False,False,2091687.9081930001,2111590.7917385,,1741427.9564060103,1605580.7007681043,False,False,False,False
2024-01-05 20:00:00+00:00,consumption,total,2120955.19795225,48.008,medium,0.9715,0.01,0.7465,0.0,0.0,True,False,False,False,2143219.77213425,2120123.57225625,,1742745.8305891666,1610215.520348847,False,False,False,False
2024-01-05 21:00:00+00:00,consumption,total,2011091.2230170001,42.43,medium,0.8736,0.1206,0.5525,0.0,0.0,True,False,False,False,2120955.19795225,2020277.53470075,,1742780.4816598333,1614580.8167386197,False,False,False,False
2024-01-05 22:00:00+00:00,consumption,total,1870821.8150682498,33.588,low,0.7485,0.1685,0.3105,0.0,0.0,True,False,False,False,2011091.2230170001,1876078.8065027501,,1742397.7186730104,1617941.0744189448,False,False,False,False
2024-01-05 23:00:00+00:00,consumption,total,1702143.5724165,23.01,low,0.5981,0.2231,0.0242,0.0,0.0,True,False,False,False,1870821.8150682498,1689728.3733432498,,1742178.6773632395,1620066.1226596956,False,False,False,False
2024-01-06 00:00:00+00:00,consumption,total,1564842.36329375,22.312,low,0.4757,0.1977,0.1635,0.0,0.0,True,False,False,False,1702143.5724165,1501929.9923029998,,1742695.9773246248,1620750.1014076688,False,False,False,False
2024-01-06 01:00:00+00:00,consumption,total,1429974.258562,24.326,low,0.3554,0.2125,0.3766,0.0,0.0,True,False,False,False,1564842.36329375,1380776.875615,,1745317.3261159062,1620288.0539852395,False,False,False,False
2024-01-06 02:00:00+00:00,consumption,total,1334700.3143665001,24.492,low,0.2705,0.1602,0.5269,0.0,0.0,True,False,False,False,1429974.258562,1305530.800889,,1747367.2170720312,1618728.1048424263,False,False,False,False
2024-01-06 03:00:00+00:00,consumption,total,1278816.18631075,23.876,low,0.2207,0.0941,0.615,0.0,0.0,True,False,False,False,1334700.3143665001,1266904.4248115001,,1748582.613466927,1616418.9358141667,False,False,False,False
2024-01-06 04:00:00+00:00,consumption,total,1248148.44665525,23.302,low,0.1933,0.0463,0.6631,0.0,0.0,True,False,False,False,1278816.18631075,1250620.4415112499,,1749078.9368627293,1613696.3329955908,False,False,False,False
2024-01-06 05:00:00+00:00,consumption,total,1248466.32139125,22.707,low,0.1936,0.0169,0.6625,0.0,0.0,True,False,False,False,1248148.44665525,1264879.2552187499,,1748975.9370770624,1610771.949904868,False,False,False,False
